cityId,cityName_CN,cityName_EN,Lon,Lat,Regis_pop,Res_pop,GDP,Mob_degree,Pub_degree
310100,上海,Shanghai,121.42,31.1878,14500000.0,24161000.0,2817865000000.0,5273600,16132
110100,北京,Beijing,116.41,40.185,13630000.0,21729000.0,2566913000000.0,6160691,35119
440300,深圳,Shenzhen,114.134,22.6584,3850000.0,11908400.0,1949260120000.0,4576108,5100
440100,广州,Guangzhou,113.535,23.3558,8700000.0,17595000.0,1954744200000.0,4585168,10689
320100,南京,Nanjing,118.842,31.9302,6630000.0,7031000.0,1050302000000.0,2351384,13525
120100,天津,Tianjin,117.319,39.3083,10440000.0,13604000.0,1788539000000.0,1947827,6577
441900,东莞,Dongguan,113.878,22.9374,2010000.0,6287000.0,682768680000.0,2374182,558
330100,杭州,Hangzhou,119.463,29.8983,5450000.0,9000000.0,983548450000.0,3110978,7874
320500,苏州,Suzhou(JS),120.641,31.3761,3480000.0,4509000.0,800845000000.0,2539954,4189
350200,厦门,Xiamen,118.111,24.6853,2210000.0,5201000.0,378426620000.0,1336198,2326
610100,西安,Xi'an,108.791,34.1087,6290000.0,6485400.0,552766000000.0,2485651,7763
440600,佛山,Foshan,112.944,23.0124,4000000.0,6542000.0,863000020000.0,1640870,477
370100,济南,Jinan,117.092,36.7358,4730000.0,4815000.0,581665050000.0,1270635,5167
370200,青岛,Qingdao,120.144,36.46,3790000.0,5258000.0,650596000000.0,1137396,4580
340100,合肥,Hefei,117.26,31.9599,2590000.0,4555000.0,419169630000.0,1696365,5629
320400,常州,Changzhou,119.634,31.6292,2950000.0,3519000.0,498566000000.0,870262,1087
410100,郑州,Zhengzhou,113.472,34.626,3540000.0,7483000.0,460970770000.0,2392617,3727
320200,无锡,Wuxi,120.076,31.5256,2530000.0,2971000.0,474902000000.0,1162745,1517
530100,昆明,Kunming,102.873,25.3897,2820000.0,4434000.0,333614250000.0,1527423,2309
330200,宁波,Ningbo,121.472,29.7063,2360000.0,4688000.0,557466040000.0,1519904,1859
330300,温州,Wenzhou,120.432,27.9027,1680000.0,2250000.0,205471550000.0,1322744,1117
350100,福州,Fuzhou(FJ),119.172,26.0552,2030000.0,2754000.0,314428150000.0,1111994,2146
230100,哈尔滨,Harbin,127.955,45.6359,5510000.0,6202000.0,447268750000.0,1339509,4232
442000,中山,Zhongshan,113.378,22.5201,1610000.0,2963000.0,320277800000.0,938250,136
430100,长沙,Changsha,113.151,28.228,3280000.0,4116400.0,586719520000.0,1836120,6273
140100,太原,Taiyuan,112.315,37.9596,2870000.0,3870000.0,275493770000.0,913792,2937
650100,乌鲁木齐,Urumqi,87.7887,43.4601,2620000.0,3123000.0,243808000000.0,533020,1488
321000,扬州,Yangzhou,119.471,32.7386,2320000.0,2533000.0,290030000000.0,514943,861
330600,绍兴,Shaoxing,120.629,29.7151,2200000.0,3381000.0,280184210000.0,719190,344
450100,南宁,Nanning,108.464,23.0583,3700000.0,5398000.0,278150940000.0,1600230,2245
320600,南通,Nantong,120.984,32.1948,2140000.0,2764000.0,247503000000.0,500535,623
441300,惠州,Huizhou,114.497,23.2444,1500000.0,2632000.0,208420550000.0,1097716,87
460100,海口,Haikou,110.424,19.8267,1670000.0,2622000.0,125766530000.0,561972,884
620100,兰州,Lanzhou,103.652,36.354,2060000.0,2688000.0,188224890000.0,928959,3942
320300,徐州,Xuzhou,117.512,34.3598,3380000.0,3287000.0,307218000000.0,841013,1672
370600,烟台,Yantai,120.806,37.2445,1880000.0,2208000.0,294772240000.0,596374,992
150200,包头,Baotou,110.256,41.5541,1560000.0,2852000.0,348505710000.0,265123,255
321200,泰州,Taizhou(JS),120.056,32.5702,1640000.0,1816000.0,171827000000.0,399540,231
320800,淮安,Huai'an,118.963,33.3567,3360000.0,3676000.0,206233000000.0,419113,530
130400,邯郸,Handan,114.544,36.5503,3810000.0,3557000.0,136636950000.0,594310,255
440400,珠海,Zhuhai,113.366,22.1707,1150000.0,2250000.0,222637080000.0,1040242,388
450200,柳州,Liuzhou,109.37,24.9467,1210000.0,1749000.0,179834900000.0,551371,154
350300,莆田,Putian,118.882,25.4567,2350000.0,2743000.0,148411260000.0,273494,39
320900,盐城,Yancheng,120.156,33.5268,2430000.0,2682000.0,188464000000.0,414072,492
370300,淄博,Zibo,118.055,36.6098,2880000.0,3083000.0,340413150000.0,405355,387
130200,唐山,Tangshan,118.328,39.7423,3360000.0,3091000.0,332383360000.0,559997,361
371300,临沂,Linyi,118.28,35.3107,2670000.0,3198000.0,166273460000.0,677911,426
350500,泉州,Quanzhou,118.253,25.2041,1100000.0,3010000.0,149026970000.0,944833,256
331000,台州,Taizhou(ZJ),121.097,28.78,1600000.0,1793000.0,141253460000.0,727246,309
410300,洛阳,Luoyang,112.029,34.2905,2050000.0,2606000.0,148851270000.0,686897,830
420300,十堰,Shiyan,110.441,32.459,1190000.0,1322000.0,93345670000.0,291547,168
230600,大庆,Daqing,124.7,46.3445,1370000.0,1690000.0,210084980000.0,273057,350
440700,江门,Jiangmen,112.672,22.2825,1420000.0,1872000.0,130340500000.0,509538,127
420500,宜昌,Yichang,111.136,30.7489,1270000.0,1279000.0,159301900000.0,511877,298
320700,连云港,Lianyungang,119.132,34.5335,2230000.0,2467000.0,130759000000.0,426162,291
430400,衡阳,Hengyang,112.573,26.7931,1000000.0,1217000.0,82427400000.0,731474,1206
430200,株洲,Zhuzhou,113.517,27.1199,1040000.0,1244000.0,117625260000.0,606529,246
130600,保定,Baoding,115.17,39.0219,2850000.0,3038000.0,114167850000.0,893161,648
370900,泰安,Tai'an,117.026,36.0015,1620000.0,1842000.0,100492000000.0,552156,677
340200,芜湖,Wuhu,118.328,31.073,1480000.0,1806000.0,165977630000.0,418751,459
321100,镇江,Zhenjiang,119.455,32.0175,1030000.0,1231000.0,171160000000.0,497420,1438
430700,常德,Changde,111.523,29.2987,1410000.0,1726000.0,147195300000.0,397575,132
371000,威海,Weihai,121.98,37.123,1340000.0,1700000.0,162286180000.0,312991,533
321300,宿迁,Suqian,118.519,33.7852,1760000.0,1803000.0,86043000000.0,331496,40
210800,营口,Yingkou,122.468,40.3908,930000.0,1006000.0,73354290000.0,175578,17
220200,吉林,Jilin,126.847,43.5813,1820000.0,1841000.0,144278150000.0,414481,356
330400,嘉兴,Jiaxing,120.754,30.6569,880000.0,1802000.0,97040770000.0,794931,310
630100,西宁,Xining,101.449,36.814,960000.0,1470000.0,96654910000.0,424263,693
140200,大同,Datong,113.719,39.9009,1580000.0,1654000.0,81867180000.0,265703,163
370500,东营,Dongying,118.606,37.6184,1100000.0,1334000.0,242505100000.0,223701,236
210300,鞍山,Anshan,123.01,40.7151,1500000.0,1556000.0,73958130000.0,209515,911
330500,湖州,Huzhou,119.871,30.7463,1110000.0,1667000.0,101117360000.0,464962,239
341200,阜阳,Fuyang,115.701,32.9167,2260000.0,2302000.0,48535930000.0,720120,85
421000,荆州,Jingzhou,112.572,29.9955,1090000.0,1134000.0,56998000000.0,401832,328
420600,襄阳,Xiangyang,111.937,31.9336,2260000.0,2198000.0,185881980000.0,478080,142
430600,岳阳,Yueyang,113.254,29.0652,1100000.0,1066000.0,126640620000.0,504063,84
370400,枣庄,Zaozhuang,117.393,34.9193,2420000.0,2480000.0,107782900000.0,287501,82
211100,盘锦,Panjin,122.018,41.1032,1030000.0,1035000.0,83681890000.0,141325,174
511300,南充,Nanchong,106.205,31.1963,1950000.0,2219000.0,59281650000.0,624776,240
340600,淮北,Huaibei,116.742,33.7295,1050000.0,1123000.0,54580640000.0,166144,142
330700,金华,Jinhua,119.952,29.1155,970000.0,1566000.0,69312630000.0,1064232,465
370800,济宁,Jining,116.734,35.3772,1850000.0,2050000.0,120958000000.0,593432,277
330900,舟山,Zhoushan,122.192,30.0988,710000.0,834000.0,90816790000.0,254501,326
411300,南阳,Nanyang,112.283,33.0446,1890000.0,2612000.0,71664750000.0,708022,270
420200,黄石,Huangshi,115.023,29.9266,850000.0,872000.0,61662000000.0,279917,197
340500,马鞍山,Maanshan,118.621,31.5345,830000.0,1017000.0,91025010000.0,289544,282
410500,安阳,Anyang,114.351,35.8779,1180000.0,1199000.0,55318600000.0,520211,268
510500,泸州,Luzhou,105.668,28.4398,1510000.0,1878000.0,77406990000.0,477889,271
410700,新乡,Xinxiang,114.091,35.2667,1070000.0,1159000.0,72010860000.0,559366,1639
410900,濮阳,Puyang,115.282,35.8089,720000.0,765000.0,38726700000.0,313199,34
510300,自贡,Zigong,104.683,29.2865,1500000.0,1634000.0,79060110000.0,232990,291
430300,湘潭,Xiangtan,112.603,27.7331,880000.0,914000.0,112324250000.0,506763,833
